2021-04-01 19:19:04	2021-04-01 19:19:03	SPY	399.73 (800)  	399.74 (11800) 
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	BEX
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	BYX
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	PSX
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	399.78 (7200)  	399.8 (4400) 
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	399.79 (400)  	399.8 (4300) 
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	NYSENAT
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	BATS
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	NYSENAT
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ARCA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	PSX
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	PSX
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
updateMktDepth 1002 0 1 1 399.79 19
updateMktDepth 1002 1 1 1 399.78 12
updateMktDepth 1002 2 1 1 399.77 24
updateMktDepth 1002 3 1 1 399.76 16
updateMktDepth 1002 4 1 1 399.75 23
updateMktDepth 1002 5 1 1 399.74 23
updateMktDepth 1002 6 1 1 399.73 25
updateMktDepth 1002 7 1 1 399.72 32
updateMktDepth 1002 9 1 1 399.7 30
updateMktDepth 1002 11 1 1 399.68 18
updateMktDepth 1002 12 1 1 399.67 28
updateMktDepth 1002 17 1 1 399.62 29
updateMktDepth 1002 23 1 1 399.56 16
updateMktDepth 1002 28 1 1 399.51 10
updateMktDepth 1002 29 1 1 399.5 26
updateMktDepth 1002 30 1 1 399.49 3
updateMktDepth 1002 0 2 0 0.0 0
updateMktDepth 1002 99 0 0 401.32 1
updateMktDepth 1002 0 1 0 399.81 2
updateMktDepth 1002 1 1 0 399.82 17
updateMktDepth 1002 2 1 0 399.83 2
updateMktDepth 1002 3 1 0 399.84 18
updateMktDepth 1002 4 1 0 399.85 13
updateMktDepth 1002 5 1 0 399.86 21
updateMktDepth 1002 6 1 0 399.87 30
updateMktDepth 1002 7 1 0 399.88 21
updateMktDepth 1002 10 1 0 399.91 18
updateMktDepth 1002 14 1 0 399.95 22
updateMktDepth 1002 15 1 0 399.96 22
updateMktDepth 1002 22 1 0 400.03 23
updateMktDepth 1002 25 1 0 400.06 14
updateMktDepth 1002 26 1 0 400.07 17
updateMktDepth 1002 99 2 1 0.0 0
updateMktDepth 1002 0 0 1 399.8 7
updateMktDepth 1002 1 1 1 399.79 14
updateMktDepth 1002 0 1 0 399.81 8
updateMktDepth 1002 3 1 0 399.84 17
updateMktDepth 1002 7 1 0 399.88 22
updateMktDepth 1002 23 1 0 400.04 16
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	BYX
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	BYX
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	BYX
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	BYX
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	EDGEA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	EDGEA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ARCA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	DRCTEDGE
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ISLAND
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	DRCTEDGE
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ISLAND
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ISLAND
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ISLAND
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	399.79 (8700)  	399.81 (3700) 
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	399.8 (700)  	399.81 (3700) 
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	DRCTEDGE
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ARCA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	DRCTEDGE
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ARCA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ARCA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	BATS
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	BATS
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ISLAND
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ISLAND
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ISLAND
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ISLAND
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ISLAND
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	ISLAND
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	399.79 (2700)  	399.8 (4600) 
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
2021-04-01 19:19:07	2021-04-01 19:19:07	SPY	FINRA
updateMktDepth 1002 0 2 1 0.0 0
updateMktDepth 1002 99 0 1 398.8 10
updateMktDepth 1002 0 1 1 399.79 12
updateMktDepth 1002 1 1 1 399.78 13
updateMktDepth 1002 2 1 1 399.77 19
updateMktDepth 1002 4 1 1 399.75 29
updateMktDepth 1002 5 1 1 399.74 24
updateMktDepth 1002 7 1 1 399.72 31
