2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	399.54 (4500)  	399.55 (1100) 
updateMktDepth 1002 25 1 1 399.29 15
updateMktDepth 1002 26 1 1 399.28 15
updateMktDepth 1002 27 1 1 399.27 15
updateMktDepth 1002 28 1 1 399.26 4
updateMktDepth 1002 29 1 1 399.25 4
updateMktDepth 1002 30 1 1 399.24 10
updateMktDepth 1002 31 1 1 399.23 3
updateMktDepth 1002 32 1 1 399.22 2
updateMktDepth 1002 33 1 1 399.21 3
updateMktDepth 1002 34 1 1 399.2 8
updateMktDepth 1002 35 1 1 399.19 2
updateMktDepth 1002 36 1 1 399.18 3
updateMktDepth 1002 37 1 1 399.17 7
updateMktDepth 1002 38 1 1 399.16 2
updateMktDepth 1002 39 1 1 399.15 19
updateMktDepth 1002 40 1 1 399.14 2
updateMktDepth 1002 41 1 1 399.13 2
updateMktDepth 1002 42 1 1 399.12 7
updateMktDepth 1002 43 1 1 399.11 2
updateMktDepth 1002 44 1 1 399.1 3
updateMktDepth 1002 45 1 1 399.09 3
updateMktDepth 1002 46 1 1 399.08 19
updateMktDepth 1002 47 1 1 399.07 3
updateMktDepth 1002 48 1 1 399.06 3
updateMktDepth 1002 49 1 1 399.05 12
updateMktDepth 1002 50 1 1 399.04 3
updateMktDepth 1002 51 1 1 399.03 3
updateMktDepth 1002 52 1 1 399.02 6
updateMktDepth 1002 53 1 1 399.01 2
updateMktDepth 1002 54 1 1 399.0 80
updateMktDepth 1002 55 1 1 398.99 22
updateMktDepth 1002 56 1 1 398.98 2
updateMktDepth 1002 57 1 1 398.97 8
updateMktDepth 1002 58 1 1 398.96 3
updateMktDepth 1002 59 1 1 398.95 3
updateMktDepth 1002 60 1 1 398.94 2
updateMktDepth 1002 61 1 1 398.93 7
updateMktDepth 1002 62 1 1 398.92 2
updateMktDepth 1002 63 1 1 398.91 2
updateMktDepth 1002 64 1 1 398.9 8
updateMktDepth 1002 65 1 1 398.89 2
updateMktDepth 1002 66 1 1 398.88 2
updateMktDepth 1002 67 1 1 398.87 2
updateMktDepth 1002 68 1 1 398.86 3
updateMktDepth 1002 69 1 1 398.85 7
updateMktDepth 1002 70 1 1 398.84 5
updateMktDepth 1002 71 1 1 398.83 2
updateMktDepth 1002 72 1 1 398.82 2
updateMktDepth 1002 73 1 1 398.81 3
updateMktDepth 1002 74 1 1 398.8 10
updateMktDepth 1002 75 1 1 398.79 3
updateMktDepth 1002 76 1 1 398.78 3
updateMktDepth 1002 77 1 1 398.77 8
updateMktDepth 1002 78 1 1 398.76 3
updateMktDepth 1002 79 1 1 398.75 13
updateMktDepth 1002 80 1 1 398.73 1
updateMktDepth 1002 81 1 1 398.72 10
updateMktDepth 1002 82 1 1 398.71 1
updateMktDepth 1002 83 1 1 398.7 6
updateMktDepth 1002 84 1 1 398.69 2
updateMktDepth 1002 85 1 1 398.66 4
updateMktDepth 1002 86 1 1 398.64 2
updateMktDepth 1002 87 1 1 398.61 1
updateMktDepth 1002 88 1 1 398.6 2
updateMktDepth 1002 89 1 1 398.57 6
updateMktDepth 1002 90 1 1 398.55 1
updateMktDepth 1002 91 1 1 398.54 1
updateMktDepth 1002 92 1 1 398.51 1
updateMktDepth 1002 93 1 1 398.5 24
updateMktDepth 1002 94 1 1 398.49 3
updateMktDepth 1002 95 1 1 398.47 1
updateMktDepth 1002 96 1 1 398.46 13
updateMktDepth 1002 97 1 1 398.41 1
updateMktDepth 1002 98 1 1 398.38 1
updateMktDepth 1002 99 1 1 398.37 1
updateMktDepth 1002 0 1 0 399.55 51
updateMktDepth 1002 4 1 0 399.59 14
updateMktDepth 1002 5 1 0 399.6 30
updateMktDepth 1002 0 1 1 399.52 6
updateMktDepth 1002 1 1 1 399.51 4
updateMktDepth 1002 2 1 1 399.5 34
updateMktDepth 1002 3 1 1 399.49 74
